	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70		
DIAG_COSTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.495145028	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056	4.990290056			
SCREEN_COSTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342758019	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187	0.673925187			
QALYS	0	0.737463833	1.447777863	2.130557133	2.786748799	3.41726213	4.022985538	4.604806346	5.163524879	5.699929311	6.214829418	6.708965896	7.183067123	7.637844475	8.073933829	8.491939988	8.892487609	9.276221809	9.643754709	9.995626229	10.33235295	10.65443255	10.9623936	11.25674489	11.53793961	11.80641895	12.06261476	12.30694138	12.53979397	12.76153062	12.97251597	13.17311638	13.36368975	13.54452955	13.71591385	13.87819587	14.03167282	14.17661142	14.31328521	14.44195207	14.56288446	14.67635055	14.78262693	14.88196929	14.97456419	15.06059099	15.14023804	15.21370925	15.28117806	15.34282589	15.39885897	15.4494938	15.49497932	15.53556546	15.57151462	15.60306874	15.63047711	15.65401613	15.67399091	15.69073262	15.7045749	15.71587814	15.72498678	15.73220196	15.73781064	15.74209366	15.74529607	15.74762398	15.74927062	15.75041122			
LYS	0	0.965631779	1.897516766	2.796775362	3.664457622	4.501586249	5.309187344	6.088242136	6.83961273	7.564163667	8.262806347	8.936355606	9.585588074	10.21128461	10.81415373	11.39485794	11.95406868	12.49248127	13.01076686	13.50952464	13.98932958	14.45073139	14.89429569	15.3205767	15.73007859	16.1232918	16.50068812	16.86271572	17.20979917	17.5423112	17.86063494	18.16515607	18.45626022	18.73423344	18.99936504	19.25206308	19.49263777	19.72136224	19.93851752	20.14436515	20.33918995	20.52327397	20.69693172	20.86043043	21.01393442	21.15759667	21.29160201	21.4161547	21.53140296	21.63751661	21.73471057	21.82322942	21.90337193	21.97546565	22.03985017	22.09682996	22.14673972	22.18997672	22.2269906	22.25828279	22.28438383	22.30587754	22.32334125	22.33729612	22.3482429	22.35667529	22.36303047	22.36769814	22.37103827	22.37337197			
LG_SYMPT	0	2.19E-06	4.90E-06	9.48E-06	1.16E-05	1.78E-05	3.24E-05	4.39E-05	5.61E-05	6.64E-05	8.33E-05	9.78E-05	0.000117427	0.000142458	0.000161766	0.000182756	0.000209323	0.000250548	0.000291201	0.000334498	0.000369133	0.0004271	0.000487452	0.000554359	0.000627952	0.000703691	0.000807537	0.000909031	0.001012317	0.00113468	0.001258049	0.001415447	0.001583741	0.001780391	0.002001363	0.002250232	0.002508239	0.002778241	0.003108549	0.003452091	0.003817304	0.00421214	0.00464346	0.00508775	0.00555261	0.006079352	0.006601307	0.007161652	0.007771993	0.008387249	0.009052016	0.009748997	0.010425091	0.011105464	0.011792828	0.012483275	0.013197704	0.013850133	0.014503752	0.015139688	0.015751848	0.016270589	0.016748977	0.017198726	0.017589028	0.017920188	0.018192676	0.018438135	0.018639561	0.018797519			
HG_St1_SYMPT	0	8.70E-07	3.25E-06	5.03E-06	8.17E-06	1.29E-05	1.52E-05	2.03E-05	2.36E-05	3.03E-05	3.39E-05	4.17E-05	5.06E-05	6.05E-05	6.77E-05	7.90E-05	9.06E-05	0.00010862	0.000122352	0.000141189	0.000157717	0.000179746	0.000202648	0.00022942	0.00025408	0.000284204	0.000324763	0.000366983	0.000402425	0.000453273	0.000513171	0.000573075	0.000639839	0.000714918	0.00080559	0.000901869	0.001008301	0.001136871	0.00126579	0.001418209	0.001548122	0.001721448	0.001879616	0.002063623	0.002270539	0.002476142	0.002715902	0.002983092	0.003248813	0.003561215	0.0038553	0.00415201	0.004488358	0.004827198	0.005165392	0.005525931	0.005893155	0.006244703	0.006630412	0.006950581	0.007250835	0.007525088	0.007793748	0.008049919	0.00828486	0.008456028	0.008636668	0.008770967	0.008890965	0.008982834			
HG_St2_SYMPT	0	6.27E-07	6.27E-07	1.40E-06	3.99E-06	5.46E-06	7.21E-06	9.44E-06	9.98E-06	1.04E-05	1.50E-05	1.68E-05	1.97E-05	2.25E-05	2.71E-05	3.24E-05	3.50E-05	3.95E-05	4.28E-05	4.92E-05	5.32E-05	6.15E-05	6.81E-05	7.31E-05	8.19E-05	9.19E-05	0.000101739	0.000111236	0.000126234	0.000139571	0.000157434	0.000173489	0.000192853	0.000220777	0.00025223	0.000286609	0.000330772	0.000367542	0.000413493	0.000456523	0.000501909	0.00055409	0.000606134	0.000661749	0.000726969	0.000807101	0.000876628	0.000969133	0.001045388	0.001138138	0.001238044	0.001328051	0.001427854	0.001531809	0.001638137	0.001769578	0.001884241	0.001994356	0.002093095	0.002202741	0.002299041	0.002393992	0.002484054	0.002561105	0.002633868	0.002702648	0.002760727	0.002810371	0.002849002	0.002881039			
HG_St3_SYMPT	0	0	0	1.45E-06	1.45E-06	1.91E-06	1.91E-06	1.91E-06	2.28E-06	5.32E-06	5.91E-06	7.58E-06	9.33E-06	1.17E-05	1.27E-05	1.44E-05	1.74E-05	2.02E-05	2.31E-05	2.51E-05	3.04E-05	3.22E-05	3.53E-05	4.17E-05	4.65E-05	5.12E-05	5.53E-05	6.36E-05	6.68E-05	7.26E-05	8.32E-05	9.06E-05	0.000101106	0.000112223	0.000124846	0.000133878	0.000157922	0.000173812	0.000199443	0.00022425	0.00025065	0.00026878	0.000289405	0.000324322	0.000352979	0.000377951	0.00041453	0.000453527	0.000505374	0.000559234	0.000606741	0.000660061	0.000719404	0.000777057	0.000832188	0.000889338	0.000954635	0.001010927	0.001079393	0.001136723	0.001186839	0.001240464	0.001289044	0.001335191	0.001368146	0.001406019	0.001437262	0.001460044	0.001475497	0.001494422			
HG_St4_SYMPT	0	0	2.91E-06	4.61E-06	7.61E-06	9.61E-06	9.61E-06	1.26E-05	1.60E-05	1.73E-05	2.07E-05	2.64E-05	2.97E-05	3.28E-05	3.55E-05	3.92E-05	4.37E-05	5.07E-05	5.85E-05	6.37E-05	7.33E-05	8.52E-05	9.91E-05	0.000113199	0.00012979	0.000146016	0.000168856	0.000188342	0.000217193	0.000243361	0.00027888	0.000309348	0.00034368	0.000378359	0.000420037	0.000464882	0.000524013	0.000579307	0.000653647	0.000719528	0.000809599	0.000900104	0.000981018	0.001078724	0.001197339	0.001332143	0.001473691	0.001626848	0.001795223	0.001961455	0.002160514	0.002361838	0.002539167	0.002752189	0.002973511	0.003198703	0.003412574	0.003621931	0.003862098	0.004059636	0.004261635	0.004458976	0.004645734	0.004815744	0.004958459	0.005076438	0.00518812	0.005280356	0.005357831	0.005418241			
LG_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05	2.09E-05			
