"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"all.symptomatic"
"390"	0.86	0.002	0.001996	0.13	0.001996	0.001996	0	0.002	1.2e-05
"391"	0.998	0	0	0.002	0	0	0	0	0
"392"	0.954	0	0	0.046	0	0	0	0	0
"393"	0.58	0.02	0	0.39	0.001996	0.003984	0	0.004	2e-05
"394"	0.938	0	0.003984	0.058	0	0	0	0	1.6e-05
"395"	0.69	0.002	0.003984	0.302	0	0	0	0.002	1.6e-05
"396"	0.986	0	0	0.014	0	0	0	0	0
"397"	0.84	0.004	0	0.156	0	0	0	0	0
"398"	0.918	0	0	0.082	0	0	0	0	0
"399"	0.974	0	0	0.024	0	0	0.001996	0	4e-06
"400"	0.994	0	0	0.006	0	0	0	0	0
"401"	0.882	0.002	0	0.116	0	0	0	0	0
"402"	0.958	0	0	0.042	0	0	0	0	0
"403"	0.87	0.002	0	0.128	0	0	0	0	0
"404"	0.992	0	0	0.008	0	0	0	0	0
"405"	0.998	0	0	0.002	0	0	0	0	0
"406"	0.794	0.002	0.001996	0.2	0	0	0.001996	0	8e-06
"407"	0.96	0	0	0.04	0	0	0	0	0
"408"	0.978	0	0	0.022	0	0	0	0	0
"409"	0.82	0.002	0	0.176	0	0.001996	0	0	4e-06
"410"	0.92	0	0	0.08	0	0	0	0	0
"411"	0.98	0	0	0.02	0	0	0	0	0
"412"	0.778	0.004	0.001996	0.214	0	0	0	0.002	4e-06
"413"	0.92	0	0.001996	0.076	0	0.001996	0	0	8e-06
"414"	0.922	0.002	0	0.076	0	0	0	0	0
"415"	0.998	0	0	0.002	0	0	0	0	0
"416"	0.838	0	0.003984	0.156	0	0	0	0.002	1.6e-05
"417"	0.882	0	0.001996	0.116	0	0	0	0	4e-06
"418"	0.864	0.002	0.001996	0.132	0	0	0	0	4e-06
"419"	0.89	0	0	0.11	0	0	0	0	0
"420"	1	0	0	0	0	0	0	0	0
"421"	0.98	0	0	0.02	0	0	0	0	0
"422"	0.978	0	0	0.022	0	0	0	0	0
"423"	0.998	0	0	0.002	0	0	0	0	0
"424"	0.932	0.002	0	0.066	0	0	0	0	0
"425"	0.682	0.004	0.001996	0.306	0	0	0	0.006	4e-06
"426"	0.998	0	0	0.002	0	0	0	0	0
"427"	0.958	0	0	0.042	0	0	0	0	0
"428"	0.832	0.004	0	0.162	0	0	0	0.002	0
"429"	0.984	0	0	0.016	0	0	0	0	0
"430"	1	0	0	0	0	0	0	0	0
"431"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"432"	0.984	0	0	0.016	0	0	0	0	0
"433"	0.872	0.002	0	0.126	0	0	0	0	0
"434"	0.856	0	0	0.142	0	0	0.001996	0	4e-06
"435"	0.962	0	0	0.038	0	0	0	0	0
"436"	0.96	0	0	0.04	0	0	0	0	0
"437"	0.884	0	0	0.116	0	0	0	0	0
"438"	0.694	0.008	0.001996	0.294	0	0	0	0.002	4e-06
